[05:04:16] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.14
[05:04:17] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.14
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[05:04:17] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/PROMINENCE2-C/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.5+mixin.0.8.7/sponge-mixin-0.15.5+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[05:04:22] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[05:04:23] [main/INFO]: Loaded 7 recipes
[05:04:23] [main/INFO]: Loaded 1271 advancements
[05:04:24] [Server thread/INFO]: Starting minecraft server version 1.20.1
[05:04:24] [Server thread/INFO]: Loading properties
[05:04:24] [Server thread/INFO]: Default game type: SURVIVAL
[05:04:24] [Server thread/INFO]: Generating keypair
[05:04:24] [Server thread/INFO]: Starting Minecraft server on *:25565
[05:04:24] [Server thread/INFO]: Using epoll channel type
[05:04:24] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[05:04:24] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[05:04:24] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[05:04:24] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[05:04:24] [Server thread/INFO]: Preparing level "world"
[05:04:30] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[05:04:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[05:04:31] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[05:04:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:04:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:04:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[05:04:33] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[05:04:33] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[05:04:34] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[05:04:34] [Worker-Main-3/INFO]: Preparing spawn area: 2%
[05:04:35] [Worker-Main-3/INFO]: Preparing spawn area: 3%
[05:04:35] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[05:04:36] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[05:04:36] [Worker-Main-3/INFO]: Preparing spawn area: 5%
[05:04:37] [Worker-Main-1/INFO]: Preparing spawn area: 6%
[05:04:37] [Worker-Main-3/INFO]: Preparing spawn area: 8%
[05:04:38] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[05:04:38] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[05:04:39] [Worker-Main-3/INFO]: Preparing spawn area: 10%
[05:04:39] [Worker-Main-1/INFO]: Preparing spawn area: 11%
[05:04:40] [Worker-Main-1/INFO]: Preparing spawn area: 14%
[05:04:40] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[05:04:41] [Worker-Main-1/INFO]: Preparing spawn area: 15%
[05:04:41] [Worker-Main-3/INFO]: Preparing spawn area: 17%
[05:04:42] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[05:04:42] [Worker-Main-2/INFO]: Preparing spawn area: 21%
[05:04:43] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[05:04:43] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[05:04:44] [Worker-Main-1/INFO]: Preparing spawn area: 25%
[05:04:44] [Worker-Main-2/INFO]: Preparing spawn area: 28%
[05:04:45] [Worker-Main-3/INFO]: Preparing spawn area: 31%
[05:04:45] [Worker-Main-3/INFO]: Preparing spawn area: 33%
[05:04:46] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[05:04:46] [Worker-Main-1/INFO]: Preparing spawn area: 37%
[05:04:47] [Worker-Main-3/INFO]: Preparing spawn area: 40%
[05:04:47] [Worker-Main-1/INFO]: Preparing spawn area: 42%
[05:04:48] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[05:04:48] [Worker-Main-1/INFO]: Preparing spawn area: 47%
[05:04:49] [Worker-Main-2/INFO]: Preparing spawn area: 49%
[05:04:49] [Worker-Main-1/INFO]: Preparing spawn area: 52%
[05:04:50] [Worker-Main-1/INFO]: Preparing spawn area: 54%
[05:04:50] [Worker-Main-1/INFO]: Preparing spawn area: 56%
[05:04:51] [Worker-Main-3/INFO]: Preparing spawn area: 59%
[05:04:51] [Worker-Main-3/INFO]: Preparing spawn area: 62%
[05:04:52] [Worker-Main-1/INFO]: Preparing spawn area: 64%
[05:04:52] [Worker-Main-1/INFO]: Preparing spawn area: 67%
[05:04:53] [Worker-Main-1/INFO]: Preparing spawn area: 69%
[05:04:53] [Worker-Main-3/INFO]: Preparing spawn area: 70%
[05:04:54] [Worker-Main-2/INFO]: Preparing spawn area: 73%
[05:04:54] [Worker-Main-3/INFO]: Preparing spawn area: 75%
[05:04:55] [Worker-Main-2/INFO]: Preparing spawn area: 78%
[05:04:55] [Worker-Main-3/INFO]: Preparing spawn area: 81%
[05:04:56] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[05:04:56] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[05:04:57] [Worker-Main-3/INFO]: Preparing spawn area: 88%
[05:04:57] [Worker-Main-2/INFO]: Preparing spawn area: 89%
[05:04:58] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[05:04:58] [Worker-Main-1/INFO]: Preparing spawn area: 93%
[05:04:59] [Worker-Main-2/INFO]: Preparing spawn area: 95%
[05:04:59] [Worker-Main-3/INFO]: Preparing spawn area: 99%
[05:04:59] [Server thread/INFO]: Time elapsed: 29146 ms
[05:04:59] [Server thread/INFO]: Done (35.424s)! For help, type "help"
